"ID","Type","Name","Documentation","Specialization"
"id-9abf068ffc70480fa569c928e1f90c71","ArchimateModel","anarchist_organization v3","",""
"id-a50d7ae050004d109ae19521cfb10072","BusinessActor","Person","",""
"id-90a6bfb1624042f4aef4e985d7a212e8","BusinessEvent","[CDMLD] Consensus Achieved","",""
"id-10e2e5ddbcb54c1c9ed1fe19ffcd96dd","BusinessEvent","[CDMLD] End Delegation","",""
"id-7f6c8208b71249ffbc2e76dd9d1665f2","BusinessEvent","[CDMLD] End Instant Recall","",""
"id-4aa5f487f14944938174fa8ca0935a7b","BusinessEvent","[CDMLD] New Issue or Legal Text","",""
"id-791831c759da4899846e7820fefbaa12","BusinessEvent","[CDMLD] Start Delegation","",""
"id-ecad33ea57cf44fbb6fde33ea7dbf2ae","BusinessEvent","[CDMLD] Start Instant Recall","",""
"id-6e90f4b451654aa9b3bb9a6a1abbe8d8","BusinessEvent","[CLAP] End CLAA ","",""
"id-18a59b2b593d4f9e856328f9fa693bc7","BusinessEvent","[CLAP] Learning opportunity or need for adaptation","",""
"id-d6ca70b4029e43799176c606fa65be60","BusinessEvent","[CLAP][ADI] End Analyze and Develop Insights Process","",""
"id-57d73ff4fc7c4f91a1872cf18085f499","BusinessEvent","[CLAP][ADI] Enough Data have been collected","",""
"id-c4c70f89d15d44d1b31faf90df74189d","BusinessEvent","[DA] End Direct Action Process","",""
"id-525e7c1caa9347e29d9ca9542f0a8373","BusinessEvent","[DA] Needs to inform on an issue","",""
"id-a35570c023e64516bab1a30a275697cf","BusinessEvent","[ERD] End ERD process","",""
"id-728458e6f6094233ae68922b92ebd748","BusinessEvent","[ERD] Needs to share resources","",""
"id-e7377358127346fba687bb153e430b66","BusinessEvent","[RJP] End RJ","",""
"id-d3ea56b4f4ac4e18aebee31986e32e8d","BusinessEvent","[RJP] Incident reported","",""
"id-bfa702303898442395e87b406db3f5d9","BusinessEvent","[VAP] Destruct the federation","",""
"id-b7cf868651a847449bacb0980d69eaa7","BusinessEvent","[VAP] Need for a New federation","",""
"id-7c30a7c47a124b819202fd6fd514f3e3","BusinessEvent","[VAP][CIPP] End the project","",""
"id-05f45b07eb194cb49a37a8535f8a4ff1","BusinessEvent","[VAP][CIPP] Someone identify a need or a goal","",""
"id-a6ce6ef7006b48f1a8410548d62724ad","BusinessEvent","[VAP][CIPP][CAO] End Association Lifecycle","",""
"id-e185f69493d54a6787509f727d0e30c8","BusinessEvent","[VAP][CIPP][CAO] Start Association Lifecycle","",""
"id-7231b97cb77041938470361b0436f4fc","BusinessEvent","[VAP][CIPP][CAO][AAP] End Awareness and Advocacy Projects","",""
"id-4c154b7b2f9d4891bf33117dcff82ea5","BusinessEvent","[VAP][CIPP][CAO][AAP] Needs for Awareness and Advocacy Projects","",""
"id-421ebd1241af49f5a3a853f7e8fd8b98","BusinessEvent","[VAP][CIPP][CAO][CEP] End Community Engagement Project","",""
"id-af6cd7cfd88648c384ec1da128c29426","BusinessEvent","[VAP][CIPP][CAO][CEP] Needs for community engagement project","",""
"id-3d021b1b08f84a5a88eb1d8f53889bf1","BusinessEvent","[VAP][CIPP][CAO][EP] End Economic Project","",""
"id-34863ed689ea4194ba2ae850329058b6","BusinessEvent","[VAP][CIPP][CAO][EP] Needs for Economic project","",""
"id-04de8b9d1f8c4f669d074b73e287d143","BusinessObject","[CDMLD] Answer set","",""
"id-c90583124e4743a5afa2622e900ddbb1","BusinessObject","[CDMLD] Delegation record","",""
"id-2e690038969d46bfaa2cf7ce4c3e1331","BusinessObject","[CDMLD] Proposal Record","",""
"id-471cc86d8073445da9be3e75b5debfb2","BusinessObject","[CLAP] Change Logs Records","",""
"id-e8d79b51151c4bc59c2d1a5e5d31273b","BusinessObject","[CLAP] Ops Records","",""
"id-c66e6b0598c041e68f16ff6691115596","BusinessObject","[CLAP][ADI] Analysis Records","",""
"id-529f1a4ce650426e9dfdc0603f21fe9a","BusinessObject","[ERD] Resources Records","",""
"id-e89af88f01874be0a4b9120f4ac08233","BusinessObject","[RJP] Amends Records","",""
"id-9871d31b56924434be3a04f6ec205e82","BusinessObject","[VAP] Federation Records","",""
"id-b1138718e9704c299bc273f3d9dcf7bb","BusinessObject","[VAP][CIPP] Association Member Records","",""
"id-5e18467b681f4d3db679ccd2b5aa41c5","BusinessObject","[VAP][CIPP] Association Records","",""
"id-6e2a59b25c12433c9f19542bccf5fbac","BusinessProcess","[CDMLD] Asses decision","",""
"id-ac7ecc8c990746118d62349be533a283","BusinessProcess","[CDMLD] Cast their vote ","",""
"id-03deeb64df304c60837e524e5c741767","BusinessProcess","[CDMLD] Collect Vote","",""
"id-d465973b884c43dfbb151b3451d5f9c1","BusinessProcess","[CDMLD] Consensus decision making through Liquid Democracy","",""
"id-0eec409d37f6408498ed809f47cd3b1b","BusinessProcess","[CDMLD] Delegation","",""
"id-d6d4a3f3cb324cc2a685d05598eac1e2","BusinessProcess","[CDMLD] Delegation and Meta-Delagation Process","",""
"id-b154b2edb8dd4116ac5d4052e99a522b","BusinessProcess","[CDMLD] Instant Recall Process","",""
"id-5fed81f7dcb741e49084b2e2aef1332e","BusinessProcess","[CDMLD] Issue or Legal Text presentation","",""
"id-af4e249833af46e2924661fe6484a403","BusinessProcess","[CDMLD] Propose delegation","",""
"id-d17c04cb17a645fb93323632e0a1e0e9","BusinessProcess","[CDMLD] Retract delegation","",""
"id-04c53d6687fe4fe6801de5682ba9317e","BusinessProcess","[CDMLD] Retractation","",""
"id-c2364208118f443599f8e710782ae93b","BusinessProcess","[CLAP] Analyze and Develop Insights","",""
"id-b1a93b0e09f944aebf8dedca23d2ebfc","BusinessProcess","[CLAP] Asses Impact","",""
"id-ec1ecf59cf3a42f59466dff7643577c4","BusinessProcess","[CLAP] Collect Feedback on changes Implementation","",""
"id-9d3b99eef6dc406d9cd61397186418a6","BusinessProcess","[CLAP] Community Learning Sessions","",""
