"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-c2c7ab12dc8642fc9fb1ec6c6f2dd954","AccessRelationship","","","id-4b496219064b46f08207fdb0dc3bf7f0","id-e89af88f01874be0a4b9120f4ac08233",""
"id-6e4291b340d84d64afd4d41ab69ea81e","AccessRelationship","","","id-4adcfdd2c1fa4001b7d3f62e890df685","id-529f1a4ce650426e9dfdc0603f21fe9a",""
"id-c2f3800f264d445d9895648b6716b8d5","AccessRelationship","","","id-97d691a2331e473faae1fab91e18b469","id-a0e5d0d985304bf385f2ef1e6d568930",""
"id-ec4b7aea44a6433b83446d8509a53fcf","AccessRelationship","","","id-4862e153cce24e1bacd06b2b64e4d1c2","id-a0e5d0d985304bf385f2ef1e6d568930",""
"id-50d0536786094f6ab7b4853a7a690eb4","AccessRelationship","","","id-ddcbfa21ed444c32ae8c9479d454b8aa","id-a0e5d0d985304bf385f2ef1e6d568930",""
"id-144ccb2bd45943c2a5784c93019d68be","AccessRelationship","","","id-926d42a7b4d0436b992b7f1bd56a95f0","id-0c96d79652834bde8e3ebdcea2e6aa86",""
"id-a6415391297b4518b0cae8c5fae6591a","AccessRelationship","","","id-926d42a7b4d0436b992b7f1bd56a95f0","id-8e09356a0aa44bb4a671cf45b0e71033",""
"id-0f80947821c8494181880f1311e69bfb","AccessRelationship","","","id-926d42a7b4d0436b992b7f1bd56a95f0","id-3ff79df44c144909aece307e074bd1aa",""
"id-9d89a3c43aa24dcba2b720d9dab850c3","AccessRelationship","","","id-af4e249833af46e2924661fe6484a403","id-c90583124e4743a5afa2622e900ddbb1",""
"id-41a920a058da4abfb40648db249881cf","AccessRelationship","","","id-6e2a59b25c12433c9f19542bccf5fbac","id-04de8b9d1f8c4f669d074b73e287d143",""
"id-69950024898b4b15b8b63cd8763fac9d","AccessRelationship","","","id-d17c04cb17a645fb93323632e0a1e0e9","id-c90583124e4743a5afa2622e900ddbb1",""
"id-d36a3e4e4ca04bf58f26def6e5605c59","AccessRelationship","","","id-5fed81f7dcb741e49084b2e2aef1332e","id-2e690038969d46bfaa2cf7ce4c3e1331",""
"id-e16699afc4ea49bab2367d3709f16593","AccessRelationship","","","id-08f4a2d4d1ee42cfa23fc3ee7b0b1d7c","id-9871d31b56924434be3a04f6ec205e82",""
"id-bf4d562cc77249b09f41325f5050600f","AccessRelationship","","","id-cc0557493a044148b11e8a264db74c21","id-5e18467b681f4d3db679ccd2b5aa41c5",""
"id-63b5654d754b44b7875bfb62934019a7","AccessRelationship","","","id-dd1d1015a23144eb888f2e1774f543c4","id-b1138718e9704c299bc273f3d9dcf7bb",""
"id-35b73e9e1d24407781099400902e0fed","AccessRelationship","","","id-baf7d5c5efaa4e77966281f56e1d8c7c","id-e8d79b51151c4bc59c2d1a5e5d31273b",""
"id-b5b8d6648b9d4338bc5a4ed737b6fe97","AccessRelationship","","","id-ec1ecf59cf3a42f59466dff7643577c4","id-471cc86d8073445da9be3e75b5debfb2",""
"id-09752e98ee6444b698cdc32416c04b8a","AccessRelationship","","","id-b46ea96c2dc44110942e402e55e4b989","id-c66e6b0598c041e68f16ff6691115596",""
"id-4683d6245c0541fe95d30f54f4376ff7","AccessRelationship","","","id-5f186b6046304740ab9c6c9c8a420b61","id-caf5ee76fc3d4530bba17f783780f873",""
"id-d359b9578a2948d6ae4698bc1d59cb3f","AccessRelationship","","","id-5f186b6046304740ab9c6c9c8a420b61","id-0c6649c0843a4eb388851a2785a06b68",""
"id-b649ceb438f6407a8eda2075b740a806","AccessRelationship","","","id-5f186b6046304740ab9c6c9c8a420b61","id-4a46218ac6dd4088a350b33dce360168",""
"id-0ab96ffd4b9a4c4abffa929219c2761a","AccessRelationship","","","id-5f186b6046304740ab9c6c9c8a420b61","id-c39475adb21c4016b1f8b273b539d738",""
"id-45f2989d117b4e9a86b6437242b9af1a","AccessRelationship","","","id-06933dad789549049c9f69ea25d8c55c","id-5b8cf56853bc4a5e8de2674cd4da1294",""
"id-95c1c4f760b744199f8dac64ae304892","AccessRelationship","","","id-06933dad789549049c9f69ea25d8c55c","id-53a5959f0e6c4181ad9c44ba33567b63",""
"id-881b4e7e9e8b4b9e9f12b996800effda","AccessRelationship","","","id-06933dad789549049c9f69ea25d8c55c","id-eb34d89f40684d0d974d8f3ec00a5185",""
"id-6ecf703fd0174f67bda3bc4f3a10c04f","AccessRelationship","","","id-70a20489eb83481b975faf2b40fa3048","id-69f59fecc2a443ee88cb22622ccb6693",""
"id-df39993fe0654552ad6731d553b2969a","AccessRelationship","","","id-70a20489eb83481b975faf2b40fa3048","id-f9b88d765b0f45739ea7dd7f51656069",""
"id-3df9bc8fe146423f9a72be3a1af0d3eb","AccessRelationship","","","id-70a20489eb83481b975faf2b40fa3048","id-d3978638681742fe893b716f356f1c62",""
